TosInnKeeper			~kPaddock says, "Tos really isn't the oldest place. There's an ancient castle beyond the land of trolls. The old kingdom used to be centered there. Now it's abandoned and some say ~Ihaunted. ~I"
TosInnKeeper			~kPaddock says, "If you want to know about those qordamned creatures out there, go to Cor Noth. There's this guy named Rook. He knows it all."
TosInnKeeper			~kPaddock says, "Money, they say you can't take it with you when you die. That's what banks are for."
TosInnKeeper			~kPaddock says, "It's dangerous outside those city walls. If I were you, I'd get myself some traveling companions. There's safety in numbers."
TosInnKeeper			~kPaddock says, "Frisconar says there is an underground lake somewhere around these parts."
TosInnKeeper			~kPaddock says, "Qordamn sewer rats are everywhere nowadays. Good thing they're like baby spiders, easy to squash."
TosInnKeeper			~kPaddock says, "Oh yeah, if you're interested Frisconar teaches a spell or two. Shal'ille, I think. He pays me a commission if I refer business to him."
TosInnKeeper			~kPaddock says, "It's interesting to see all the different types that frequent my place. Soldiers, masons, bards, and acolytes of the Priestesses bring news. The acolytes usually have interesting stories to tell about their pilgrimages to the temples."
TosInnKeeper			~kPaddock says, "Before I forget, if you need reagents like mushrooms and herbs for your spells, see Frisconar. Let him know I referred you to him."
TosInnKeeper			~kPaddock says, "I'm surprised that the Councilors haven't had much to say about Jonas and his new faction."
TosInnKeeper			~kPaddock says, "Our Arena in East Tos is a great place to take a brew and watch a fight. I'm amazed at how good those guys get just practicing in there."
TosInnKeeper			~kPaddock says, "You look tired. Why don't you pull up a chair, buy a drink and get some rest. Familiars is one of the best places to recuperate."
TosInnKeeper			~kPaddock says, "I'm a little uneasy about setting up shop so close to the old graveyard. When night falls, the dead pull themselves out of their graves. So far, the people of Tos have been pretty good about keeping them contained, but I'm still uncomfortable."
TosInnKeeper		graveyard	~kPaddock says, "I'm a little uneasy about setting up shop so close to the old graveyard. When night falls, the dead pull themselves out of their graves. So far, the people of Tos have been pretty good about keeping them contained, but I'm still uncomfortable."
TosInnKeeper			~kPaddock says, "Kraanan's Arena is a good place to get better at fighting, but it's no replacement for the real thing. True warriors only get stronger by taking on stronger beasts in the wilds."
TosInnKeeper			~kPaddock says, "My philosophy is ~Ithe better the customers, the less I need to chew their ear off~I."
TosInnKeeper			~kPaddock says, "If you find yourself in Marion, the best place, well, the only place to take a load off your feet is the Limping Toad Inn. The guy who owns it, Tova, is a pretty funny guy. I think he holds a grudge against me for running a better tavern though."
TosInnKeeper			~kPaddock says, "Can I get anyone another round of brew?"
TosInnKeeper			~kPaddock says, "I was just thinking to myself, maybe I should give brew away for free. You know, just open the keg to the house. It's not like you cheap loafers are going to actually spend money to buy it."
TosInnKeeper			~kPaddock says, "It's a wonder I stay in business. So many people come in here. But at the end of the night, my profits don't show it. If people don't start drinking, I should charge a qordamn entrance fee."
TosInnKeeper			~kPaddock says, "This is a bar. If you're not going to drink, there's the door."
TosInnKeeper			~kPaddock says, "What's the matter? Is everybody so qordamned cheap, you can't buy a lousy brew?"
TosInnKeeper			~kPaddock leans behind the bar, cleaning out empty mugs.
TosInnKeeper			~kPaddock taps another keg of brew open.
TosInnKeeper		HELLO	~kPaddock says, "Hail, %NAME!"
TosInnKeeper		HELLO	~kPaddock says, "Welcome to Familiars, the best bar in all of Meridian."
TosInnKeeper		HELLO	~kPaddock says, "Well met traveler, can I get you a brew?"
TosInnKeeper		BYE	~kPaddock says, "See you tomorrow, %NAME."
TosInnKeeper		BYE	~kPaddock says, "Aw, get out of here already. Same time tomorrow?"
TosInnKeeper		BYE	~kPaddock says, "See you later. Go kill an Orc."
TosInnKeeper		BARLOqUE	~kPaddock says, "Barloque. It's the most stuck up qordamned city you'll ever see. They think they are the center of power. Ha. They do have the office of the Justicar though."
TosInnKeeper		cor NOTH	~kPaddock says, "Cor Noth is a nice town. We ought to get a clock tower here."
TosInnKeeper		JASPER	~kPaddock says, "I was just in Jasper the other day to pick up some general supplies from Zhieu B'hob.  I must say that I am quite impressed with the towns turnaround.  Jonas and his rebels might just be doing Jasper some good."
TosInnKeeper		MARION	~kPaddock says, "Marion's a town full to peaceful yokels. A nice place to live, but I won't want to visit there."
TosInnKeeper		TOS	~kPaddock says, "Tos is the place to be. It has it all, the Arena of Kraanan, the old city crypt, Blackstone Keep, the best bank in the land, and a great blacksmith. Actually, scratch that, we lost the blacksmith to Barloque."
TosInnKeeper		DUKE	~kPaddock says, "Hail Duke Akardius!"
TosInnKeeper		KALIOR	~kPaddock says, "Poor, poor Kalior. May he rest in peace."
TosInnKeeper		PRINCESS	~kPaddock says, "I feel Akardius is more fit to rule Meridian than the Princess."
TosInnKeeper		REBELS	~kPaddock says, You know this is exactly how the Duke's family came into power, although they will never admit it."
TosInnKeeper		KATERIINA	~kPaddock says, "Look. There is enough trouble with Trolls, Orcs, and the such. Why stir up more trouble?"
TosInnKeeper		COUNCIL	~kPaddock says, "King Zarcos left a council of five men in charge of the land. Well actually they just advise the Duke and Princess. Most of the time they try to figure out those weird tokens. That's government for you."
TosInnKeeper		FRISCONAR	~kPaddock says, "Frisconar owns the Magic Shop around the corner. Don't get him started on the ills of the world though. You will regret it if you do."
TosInnKeeper		BLACKSMITH	~kPaddock says, "Fehr'loi Qan was our local blacksmith. I think being so close to the graveyard spooked him out of town."
TosInnKeeper		FEHR'LOI 	~kPaddock says, "Fehr'loi Qan was our local blacksmith. I think being so close to the graveyard spooked him out of town."
TosInnKeeper		ZHIEU 	~kPaddock says, "Zhieu B'hob's a good friend of mine down in Jasper. His general store has all the essentials."
TosInnKeeper		JUSTICAR	~kPaddock says, "Up in Barloque, the common folk can elect their own Justicar to hold trial. The Justicar can pass sentence or pardon law breakers."
TosInnKeeper		RYCKSHER	~kPaddock says, "Is my little brother in trouble again? Ever since I got him the job working in the Duke's Banquet Room, he's been nothing but trouble."
TosInnKeeper		B'HOB	~kPaddock says, "Zhieu B'hob's a good friend of mine down in Jasper. His general store has all the essentials."
TosInnKeeper		QAN	~kPaddock says, "Fehr'loi Qan was our local blacksmith. I think being so close to the graveyard spooked him out of town."
TosInnKeeper		cor NOTH	~kPaddock says, "Cor Noth is a nice town. We ought to get a clock tower here."
KocatanApothecary		Hello	~kZala ix'Mecya takes a puff from her pipe and says, "Hey, welcome to my shop. Can I get you something?"
KocatanApothecary			~kZala says, "Whoa, I forgot you were here. Did I help you yet?"
KocatanApothecary			~kZala says, "You're not from Ko'catan, I can see that now. Can I ask why you traveled all this way?"
