Izzio			~kIzzio says, "I've walked many paths, and each one led to something worth selling."
Izzio			~kIzzio says, "The earth provides, but a little coin never hurt. Care to trade?"
Izzio			~kIzzio says, "Travel safely, and may you find what you seek."
Izzio			~kIzzio says, "May my wares bring you good health and wealth."
Izzio			~kIzzio says, "Every journey has its treasures; perhaps you'll find one here."
Izzio			~kIzzio says, "Gold can buy many things, but wisdom is earned on the road."
Izzio			~kIzzio says, "Fortune favors the prepared, and I've got just what you need."
Izzio			~kIzzio says, "There's a story behind every trinket I sell. Care to add your own?"
Izzio			~kIzzio says, "The best journeys are those where you return with more than you left with."
Izzio			~kIzzio says, "A wise traveler knows when to buy, and when to walk away."
